Artist1,Artist2,weight,isConnected
Kaidro,The Wild Pair,0,False
Awakend,Outwild,1,True
Jonny Rose,Manse,1,True
Lil Uzi Vert,The Cardigans,0,False
B.o.B,Coucheron,1,True
DJ Drama,G.R.L.,0,False
Exede,TIMO,1,True
A$AP Rocky,Trinidad James,2,True
Mariah Carey,Ohana Bam,0,False
A$AP Ferg,Trinidad James,2,True
Lafa Taylor,Ohana Bam,1,True
Bruno Mars,Sumire,0,False
Alessia Labate,CHRNS,1,True
Daniel Caesar,Sounxstate,0,False
Fabolous,Regard,0,False
Anaya Lovenote,Salma Slims,1,True
Migos,Travis Barker,0,False
Rich Gang,Young Thug,1,True
JB Brubaker,Sunrise Skater Kids,1,True
Cory Gunz,Xillions,0,False
KYLE,RhymeTube,0,False
D-Stroyer,Tyga,0,False
Coldplay,Rihanna,1,True
ASOBOiSM,MÖSHI,1,True
Darren Styles,Dizzee Rascal,0,False
Quavo,The American Idiot Broadway Company,0,False
Ansel Elgort,Macklemore,0,False
Future,Young Thug,1,True
Chanel West Coast,Eminem,0,False
Barbra Streisand,Bryan Adams,1,True
B.o.B,Classified,1,True
Barbra Streisand,KIDDO,0,False
Liam Payne,Quavo,1,True
Generation X,Rick Ross,0,False
Jennifer Warnes,SHIMA,0,False
Ludacris,Outwild,0,False
Hardwell,Original Love,0,False
BEAUZ,NEFFEX,1,True
Hundred Waters,Lamorn,0,False
Garrett Raff,Karl Sylver,1,True
Code Black,Matthew Steeper,1,True
(sic)boy,Jez Dior,1,True
Adrenalize,Code Black,1,True
Original Love,YFN Lucci,0,False
Anderson .Paak,BJ The Chicago Kid,1,True
Coeus,Shelley FKA DRAM,0,False
G-Eazy,Mr. Ivex,0,False
Daichi Yamamoto,Ratatat,0,False
BEAUZ,Whitney Houston,0,False
Adrenalize,Da Tweekaz,1,True
Fabolous,Tory Lanez,1,True
Nao'ymt,ZIN,0,False
Britney Spears,The Neptunes,1,True
Daniel Caesar,Giveon,1,True
Machine Gun Kelly,Rae Sremmurd,0,False
Aretha Franklin,G-Eazy,0,False
Billie Eilish,Khalid,1,True
J. Cole,Smokepurpp,0,False
Dae Dae,London On Da Track,1,True
Christoph Andersson,Future,0,False
Elton John,PNAU,1,True
EL3CTRXX,Refuzion,0,False
Cazzu,Rafa Pabön,1,True
Kendrick Lamar,Yosuke Nakano,0,False
Jez Dior,Macklemore,0,False
Alisa,Hoang,1,True
Céline Dion,Patrick Key,0,False
AKLO,Kvi Baba,1,True
Freddie Mercury,YoungBoy Never Broke Again,0,False
DJ Luian,Mambo Kingz,2,True
Elley Duhé,Steve Aoki,1,True
Kid Cudi,MONY HORSE,0,False
Kimberg,Krimsonn,0,False
Chance the Rapper,Ryan Lewis,1,True
Anklebreaker,D-Stroyer,1,True
21 Savage,Metro Boomin,4,True
KHEA,Riggi & Piros,0,False
Elyn,Madonna,0,False
Imagine Dragons,Kendrick Lamar,1,True
2 Chainz,PnB Rock,1,True
AKLO,Coucheron,0,False
A Boogie Wit da Hoodie,Jessie Reyez,1,True
Arash Shadram,Eleonora,1,True
Jack Harlow,Lil Nas X,1,True
JRL,Manse,1,True
Cardi B,Normani,1,True
A$AP Rocky,Migos,0,False
Lil Nas X,Summer Walker,0,False
Future,Kodak Black,1,True
Lorde,Post Malone,1,True
Natalie Major,Nick Ledesma,1,True
Big Sean,Rich Homie Quan,0,False
Wiz Khalifa,YFN Lucci,1,True
SZA,YFN Lucci,0,False
NVRT,Street Money Boochie,0,False
Don Q,Jordyn Oran,0,False
Hal David,Shirley Bassey,1,True
A$AP Rocky,French Montana,2,True
Chris Brown,Rick Ross,1,True
G.R.L.,Pitbull,1,True
Daichi Yamamoto,Nao'ymt,0,False
Kan Sano,Macklemore,0,False
Billy Idol,Dougal,0,False
A Boogie Wit da Hoodie,Lil Uzi Vert,1,True
Lil Yachty,Skippa Da Flippa,1,True
Post Malone,Quavo,2,True
Flaremode,Hoang,0,False
Becky G,Cheat Codes,0,False
Tory Lanez,Usher,0,False
Kosling,Robbie Rosen,1,True
Britney Spears,Megan Thee Stallion,0,False
BJ The Chicago Kid,Raury,1,True
Keith Ape,Rich Brian,1,True
Janelle Monáe,Luca Testa,0,False
Chris Young,Exede,0,False
Chanel West Coast,Ryan Lewis,0,False
Stunna Gambino,Thomas Gold,0,False
Coeus,Mark With a K,0,False
B.o.B,Run–D.M.C.,0,False
Da Tweekaz,Lionel Richie,0,False
Ed Sheeran,John Newman,0,False
Kaidro,Tory Lanez,0,False
VivaOla,Wez Atlas,1,True
MFS,MONY HORSE,1,True
Moses Sumney,Skrillex,1,True
Dave Stewart,Nicky Jam,0,False
Polo G,The Kid LAROI,1,True
Flaremode,Krimsonn,1,True
Moses Sumney,Prince Royce,0,False
Exede,yetep,1,True
Summer Walker,The Ready Set,0,False
Kosling,LUX,1,True
Kendrick Lamar,SHIMA,0,False
Garrett Nash,Olivia O'Brien,1,True
SIRUP,サトウユウヤ,1,True
Kylie Minogue,Sounxstate,0,False
Chance the Rapper,Moses Sumney,1,True
The Chainsmokers,sirenXX,1,True
June Carter Cash,Skippa Da Flippa,0,False
John Gallagher Jr.,Johnny Cash,0,False
Darren Styles,Jacob Wellfair,1,True
Ovall,Wiz Khalifa,0,False
Da Tweekaz,Maroon 5,0,False
Disclosure,SPARTA,0,False
Quavo,Young Thug,1,True
Cazzu,Dalex,1,True
Hardwell,TEAM2MVCH,0,False
Brytiago,DJ Luian,1,True
Rob $tone,Spooks,1,True
Rebecca Naomi Jones,Ricky Martin,0,False
Noiseshock,Refuzion,1,True
Post Malone,The Weeknd,1,True
Big Sean,Chris Brown,1,True
TWO LANES,Tate McRae,0,False
Keith Ape,Portugal. The Man,0,False
Cazzu,KHEA,1,True
Melanie C,SIRUP,0,False
Barbara Dickson,Elaine Paige,1,True
Travis Barker,iann dior,1,True
Jonas Brothers,Sam Smith,0,False
BullySongs,Riggi & Piros,1,True
Mark With a K,Xillions,1,True
24kGoldn,Kevin McCall,0,False
Disclosure,Sam Smith,1,True
Still Young,Tems,0,False
Lil Baby,Lil Durk,1,True
Bruno Mars,Young Dolph,0,False
James Ty,The Ready Set,0,False
Bankroll Fresh,KEIJU,0,False
Chris Brown,Fabolous,1,True
Peabo Bryson,Regina Belle,1,True
Lil Yachty,Wiz Khalifa,1,True
Naomi Wild,Salt-N-Pepa,0,False
Anklebreaker,Tom Leinad,1,True
Kiyotaka Sugiyama,S. Kiyotaka & Omega Tribe,23,True
Chris Brown,Ty Dolla $ign,1,True
Aaliyah,The Neptunes,0,False
Kodak Black,XXXTENTACION,1,True
Hoang,Nezumi Coo,0,False
Becky G,Prince Royce,1,True
Machine Gun Kelly,The Partysquad,0,False
Chanel West Coast,Salma Slims,1,True
Charlie Puth,TWO LANES,0,False
Hellblasterz,Kevu,1,True
Kiki Dee,Kiyotaka Sugiyama,0,False
Feid,Quality Control,0,False
DROELOE,TWO LANES,1,True
Dave Days,Jarrod Alonge,1,True
Jacquees,OG Maco,0,False
Chinx,ODESZA,0,False
Michael Kaneko,yetep,0,False
BEAUZ,Ghost,1,True
Jack Harlow,Salt-N-Pepa,0,False
Dae Dae,Lil Yachty,2,True
BEAUZ,Gryffin,0,False
Drake,Eminem,1,True
Jason Donovan,Joe Cocker,0,False
Awakend,SPARTA,0,False
A$AP Rocky,Coucheron,0,False
Patrick Key,WildVibes,1,True
Rob Thomas,Santana,1,True
Britney Spears,SPARTA,0,False
Chance the Rapper,Raury,1,True
En Vogue,Tokimeki Records,0,False
Kyla,WizKid,1,True
A$AP Ferg,Krimsonn,0,False
JUVENILE,Thomas Gold,0,False
Chanel West Coast,MÖSHI,0,False
Chinx,Jeremih,1,True
Hundred Waters,Robin Hannibal,1,True
Jonathan Mendelsohn,Seven Lions,1,True
Anderson .Paak,Young Thug,0,False
Lil Yachty,YFN Lucci,1,True
Maren Morris,Ryan Hurd,1,True
Kendrick Lamar,TEAM2MVCH,0,False
Lil Uzi Vert,Migos,2,True
Aerosmith,Run–D.M.C.,1,True
KHEA,Rafa Pabön,1,True
Gil Zambrano,Kimberg,0,False
Daya,Hardwell,1,True
Rick Ross,Rosemary Clooney,0,False
guardin,guccihighwaters,1,True
Bill Medley,The Pogues,0,False
Chris Brown,JUVENILE,1,True
NF Zessho,RhymeTube,1,True
The Cardigans,Tom Jones,1,True
Alessia Cara,Trinidad James,0,False
Drake,Meek Mill,1,True
Maren Morris,Marvin Gaye,0,False
Chance the Rapper,Ty Dolla $ign,1,True
Elyn,Jay Reeve,1,True
Kaidro,yetep,1,True
Drake,Kanye West,1,True
Cazzu,Lenny Tavárez,1,True
Dalex,Rafa Pabön,1,True
Leon Fanourakis,MONY HORSE,1,True
Khalid,Mark With a K,0,False
EMEL,yetep,0,False
John Gallagher Jr.,The American Idiot Broadway Company,1,True
Axollo,Josh Bogert,1,True
Kevu,Salt-N-Pepa,0,False
Masaaki Hirao,Yoko Hatanaka,1,True
Anklebreaker,Stormerz,1,True
AmanderSings,Galimatias,0,False
CMA,Rich Homie Quan,0,False
Doja Cat,Florida Georgia Line,0,False
DeJ Loaf,"Tyler, The Creator",0,False
KEIJU,Sefa,0,False
KIRINJI,Maika Loubté,1,True
Bruno Mars,Quality Control,0,False
Florida Georgia Line,Nicki Minaj,0,False
Rafa Pabön,Sech,1,True
John Gallagher Jr.,Rafa Pabön,0,False
Mark With a K,Skippa Da Flippa,0,False
Gucci Mane,Migos,1,True
Awakend,The Ready Set,1,True
Into The Ether,John Gallagher Jr.,0,False
Lenny Tavárez,Rafa Pabön,1,True
Kan Sano,Kvi Baba,0,False
Jacquees,Lil Keed,1,True
Classified,Mariah Carey,0,False
A$AP Rocky,KIRINJI,0,False
DJ Luian,Prince Royce,1,True
Chance the Rapper,The Mellomen,0,False
Dua Lipa,PNAU,1,True
BullySongs,Kiki Dee,0,False
Ed Sheeran,WizKid,0,False
2 Chainz,Young Thug,1,True
2 Chainz,SPARTA,0,False
DaBaby,Dua Lipa,1,True
Billy J. Kramer,George Michael,0,False
Anuel AA,TEAM2MVCH,0,False
Jason Donovan,fun.,0,False
Jessie Reyez,Natalie Major,0,False
Gary Barlow,Robbie Williams,1,True
Cazzu,Taylor Swift,0,False
JNKMN,MONY HORSE,1,True
D-Stroyer,Tom Leinad,1,True
French Montana,ScHoolboy Q,2,True
Florida Georgia Line,KM,0,False
Glen Hansard,Macklemore,0,False
Kellin Quinn,Pierce The Veil,1,True
AmanderSings,OHTORA,0,False
Mariah Carey,Marvin Gaye,0,False
DJ Drama,Fabolous,1,True
Daniel Caesar,Justin Bieber,1,True
O.T. Genasis,Young Dolph,1,True
PnB Rock,The Ready Set,0,False
CHAMELEON LIME WHOOPIEPIE,TCTS,1,True
Kevin McCall,Tyga,1,True
2 Chainz,Migos,1,True
Gareth Gates,NVRT,0,False
Cazzu,Megan Thee Stallion,0,False
Diana Ross,Marvin Gaye,1,True
John Barry,Michael Kaneko,0,False
Polo G,Stunna Gambino,1,True
Drake,Smiley,1,True
YFN Lucci,guardin,0,False
A$AP Ferg,ぷにぷに電機,0,False
Caslow,Molly Marrs,1,True
21 Savage,YoungBoy Never Broke Again,1,True
Drake,Lil Baby,2,True
Chris Brown,Tyga,1,True
Liam Payne,Lizzo,0,False
Calvin Harris,John Newman,1,True
Bruno Mars,The Ready Set,0,False
Cazzu,Feid,1,True
Phil Collins,Philip Bailey,1,True
Machine Gun Kelly,blackbear,1,True
A Boogie Wit da Hoodie,Summer Walker,1,True
Bassnectar,笠井 紀美子,0,False
Domeno,Lil Keed,0,False
Kosling,Matthew Steeper,1,True
Anderson .Paak,Chance the Rapper,1,True
MGMT,Ratatat,1,True
Bruno Mars,David Guetta,1,True
Kap G,Ty Dolla $ign,1,True
Coldplay,Drake,0,False
Hikari,笠井 紀美子,0,False
Anaya Lovenote,Chanel West Coast,1,True
Elyn,Sunrise Skater Kids,0,False
Chris James,deadmau5,1,True
Awakend,Riggi & Piros,0,False
Armand Van Helden,Roy Woods,0,False
A$AP Ferg,Stunna Gambino,0,False
Domeno,Lil Nas X,0,False
Molly Marrs,Sunrise Skater Kids,0,False
(sic)boy,KM,1,True
Dave Days,Moses Sumney,0,False
24kGoldn,iann dior,1,True
BIA,OG Maco,0,False
2 Chainz,Coucheron,1,True
Cazzu,Lil Gotit,0,False
Alesso,Pierce The Veil,0,False
Alessia Labate,Rich Edwards,1,True
Eurielle,Migos,1,True
Mitchell Niemeyer,Seven Lions,0,False
Domeno,Garrett Raff,1,True
French Montana,Trinidad James,2,True
Kiesza,Lamorn,1,True
CHAI,Megan Thee Stallion,0,False
Noiseshock,Smiley,0,False
Exede,JAY-Z,0,False
Calvin Harris,Future,1,True
Bruno Mars,The Wild Pair,0,False
BEAUZ,Chase Rice,0,False
Diana Ross,Lionel Richie,1,True
Electus,Kendrick Lamar,0,False
Chris Young,Kane Brown,1,True
Cory Gunz,Manse,0,False
French Montana,Taylor Swift,0,False
Kiyotaka Sugiyama,Sting,0,False
CMA,Electus,1,True
Arash Shadram,The Partysquad,0,False
Doja Cat,Saweetie,1,True
Justin Bieber,WizKid,1,True
Stark Sands,The American Idiot Broadway Company,1,True
Lil Yachty,Tee Grizzley,1,True
A Boogie Wit da Hoodie,Kodak Black,3,True
Quavo,Travis Scott,1,True
Anaya Lovenote,The Pogues,0,False
Becky G,CHRNS,0,False
Hikari,Kanye West,0,False
Adrenalize,Matthew Steeper,1,True
Exede,Gareth Gates,0,False
BIA,Nicki Minaj,1,True
Ansel Elgort,KHEA,0,False
Kodak Black,Lil Uzi Vert,0,False
Aretha Franklin,YFN Lucci,0,False
Caslow,TIMO,1,True
24kGoldn,Yaffle,0,False
(sic)boy,Jason Mraz,0,False
Juice WRLD,NF Zessho,0,False
Gambitt,MadeinTYO,0,False
A Boogie Wit da Hoodie,PnB Rock,1,True
Calvin Harris,Ofenbach,0,False
D-Stroyer,Emeli Sandé,0,False
Justin Bieber,Tems,1,True
Glen Hansard,The Pogues,0,False
Joe Cocker,Shin Sakiura,0,False
Eminem,Kanye West,1,True
Outwild,The Ready Set,1,True
Feid,Rafa Pabön,1,True
Kanye West,Lil Wayne,1,True
Kan Sano,Metro Boomin,0,False
D-Stroyer,Stormerz,1,True
SZA,Summer Walker,1,True
EMEL,TEAM2MVCH,0,False
Anklebreaker,BEAUZ,0,False
Kodak Black,Offset,1,True
Bankroll Fresh,The Chainsmokers,0,False
Orono,mabanua,1,True
Olivia O'Brien,Street Money Boochie,0,False
Coldplay,Confidence Man,0,False
Anderson .Paak,Raury,1,True
Bruno Mars,Snoop Dogg,1,True
Brendon Urie,benny blanco,1,True
Alicia Keys,Dreamville,0,False
Alicia Keys,Sunrise Skater Kids,0,False
JB Brubaker,Jonathan Mendelsohn,0,False
Migos,Olivia O'Brien,0,False
Gil Zambrano,笠井 紀美子,0,False
Matthew Steeper,Pharrell Williams,0,False
Regard,Troye Sivan,1,True
Pharrell Williams,The Neptunes,1,True
Pharrell Williams,Snoop Dogg,1,True
Green Day,Stark Sands,1,True
Alina Baraz,Khalid,1,True
Hikari,MONY HORSE,0,False
Jez Dior,KM,1,True
Green Day,TCM,0,False
Brytiago,Nicky Jam,1,True
Noiseshock,Roy Woods,0,False
JNKMN,Kiki Dee,0,False
Dizzee Rascal,Gary Barlow,0,False
Migos,Quality Control,1,True
2 Chainz,Wiz Khalifa,1,True
BoA,Nicky Jam,0,False
Boosie Badazz,T.I.,1,True
SZA,サトウユウヤ,0,False
Christoph Andersson,Skrillex,0,False
Gryffin,T.I.,0,False
LAGHEADS,kiki vivi lily,1,True
Ghost,PnB Rock,0,False
Herbie Hancock,笠井 紀美子,1,True
A$AP Rocky,Young Thug,0,False
Diana Ross,Usher,0,False
Darren Styles,Dougal,1,True
Khalid,SZA,1,True
Elton John,Sounxstate,0,False
Usher,ZAYN,1,True
Mariah Carey,Westlife,1,True
Feid,Sech,1,True
Drake,Travis Scott,1,True
Cory Gunz,Dreamville,0,False
Nicole Kidman,The Jordanaires,0,False
Gambitt,Gil Zambrano,1,True
Quavo,Ty Dolla $ign,1,True
Raury,"Tyler, The Creator",0,False
Lizzo,Outwild,0,False
Devon Baldwin,Nurko,1,True
A Boogie Wit da Hoodie,Chris Brown,1,True
OMZ,Still Young,1,True
Chris Brown,Kendrick Lamar,0,False
Armand Van Helden,Philip Bailey,0,False
SZA,Whitney Houston,0,False
August Alsina,Fabolous,1,True
August Alsina,J. Cole,0,False
Cory Gunz,Lil Wayne,2,True
Chase Rice,Florida Georgia Line,1,True
Hal David,John Barry,1,True
Atmozfears,Craig David,0,False
Kaidro,SZA,0,False
Smokepurpp,Trippie Redd,1,True
