Artist1,Artist2,weight,isConnected
Au5,HALIENE,1,True
Thimlife,Tory Lanez,0,False
J. Davi$,Rob $tone,1,True
Freddie Mercury,Montserrat Caballé,1,True
Herbie Hancock,Lafa Taylor,0,False
Leon Fanourakis,MFS,1,True
Hellblasterz,Sam Smith,0,False
East 17,Gabrielle,1,True
Big Sean,Fabolous,0,False
AAAMYYY,Dougal,0,False
Kiesza,YoungBoy Never Broke Again,0,False
Peabo Bryson,Thimlife,0,False
Feid,KHEA,1,True
Dalex,Ryan Hurd,0,False
Jay Anthony,Kosling,0,False
Code Black,Garrett Raff,0,False
Rafa Pabön,Shin Sakiura,0,False
Big Sean,MadeinTYO,1,True
JRL,Jonny Rose,1,True
Dae Dae,ZAYN,0,False
Da Tweekaz,Elyn,0,False
MFS,Masaaki Hirao,0,False
KM,Lil' Leise But Gold,1,True
Gucci Mane,Juicy J,0,False
Calvin Harris,Hurts,1,True
Lil Uzi Vert,Travis Scott,1,True
Brytiago,Nate Dogg,0,False
Halsey,Justin Bieber,1,True
Bassnectar,Ohana Bam,1,True
Cardi B,Nick Ledesma,0,False
Janelle Monáe,Lil Yachty,0,False
BEAUZ,HALIENE,0,False
Matthew Steeper,Thomas Gold,1,True
Skippa Da Flippa,Young Thug,1,True
Maki Nomiya,Night Tempo,1,True
(sic)boy,Rafa Pabön,0,False
Kap G,Nelly,0,False
Jason Ross,Seven Lions,1,True
Boosie Badazz,Young Thug,1,True
Nicole Kidman,Robbie Williams,1,True
Big Sean,Lunis,0,False
Aitor Blond,Quality Control,0,False
NF Zessho,TENDRE,0,False
Gambitt,Into The Ether,1,True
Anuel AA,Mambo Kingz,2,True
Carrie Underwood,Feid,0,False
Kodak Black,PnB Rock,3,True
Jonas Brothers,Jonathan Mendelsohn,0,False
HALIENE,KYLE,0,False
Dido,Eminem,1,True
Laniia,RhymeTube,0,False
Fabolous,Keith Urban,0,False
David Guetta,Kevin Flum,0,False
Domeno,KM,0,False
Alesso,Calvin Harris,1,True
Adrenalize,Thomas Gold,0,False
Daft Punk,Hurts,0,False
Craig David,Sting,1,True
Green Day,The American Idiot Broadway Company,1,True
CMA,Yu Sakai,0,False
Becky G,DJ Luian,1,True
Jordyn Oran,Queen,0,False
21 Savage,Post Malone,2,True
Fabolous,Jhené Aiko,1,True
Classified,Eminem,0,False
Naomi Wild,Snoop Dogg,0,False
JUVENILE,Juicy J,1,True
Jonathan Mendelsohn,Kiyotaka Sugiyama,0,False
GhostDragon,yetep,1,True
21 Savage,RhymeTube,0,False
GhostDragon,Janelle Monáe,0,False
Bruno Mars,Silk Sonic,2,True
Bibiane Z,Thimlife,1,True
CHAMELEON LIME WHOOPIEPIE,Nate Dogg,0,False
Armand Van Helden,Dizzee Rascal,1,True
Shin Sakiura,TENDRE,1,True
JNKMN,SPARTA,1,True
J. Davi$,Spooks,1,True
Lizzo,VivaOla,0,False
BJ The Chicago Kid,Chance the Rapper,1,True
Jason Ross,London On Da Track,0,False
Ed Sheeran,Leon Fanourakis,0,False
Bryan Adams,NEFFEX,0,False
Chinx,Yu Sakai,0,False
Halston Dare,Riddler,1,True
MFS,guardin,0,False
En Vogue,Jason Mraz,0,False
Alicia Keys,Troye Sivan,0,False
Maren Morris,Portugal. The Man,0,False
Alesso,LUX,0,False
Britney Spears,Pharrell Williams,1,True
Coeus,Eleonora,1,True
JUVENILE,deadmau5,0,False
Elaine Paige,Mitchell Niemeyer,0,False
Lil Baby,Ohana Bam,0,False
Chance the Rapper,Rich Brian,0,False
Ariana Grande,Juicy J,0,False
Lil Yachty,Quavo,1,True
Becky G,Mambo Kingz,1,True
Drake,Lloyd,0,False
Annie Lennox,Gryffin,0,False
James Morrison,Markéta Irglová,0,False
OHTORA,Tate McRae,0,False
CHRNS,PnB Rock,0,False
Kiesza,deadmau5,1,True
Future,Metro Boomin,2,True
Stunna Gambino,The Kid LAROI,1,True
Brendon Urie,OHTORA,0,False
G-Eazy,Imagine Dragons,0,False
Mikky Ekko,Rihanna,1,True
Chinx,Hardwell,0,False
Coucheron,Phil Collins,0,False
DJ Khaled,Lil Durk,1,True
21 Savage,Future,2,True
Kevu,Macklemore,0,False
Cerys Matthews,Snoop Dogg,0,False
Chris Young,The Neptunes,0,False
JNKMN,Leon Fanourakis,1,True
Bill Medley,ZAYN,0,False
Chasing Grace,Ricky Martin,0,False
Hurts,Rich Brian,0,False
Kevin McCall,Masaaki Hirao,0,False
Imagine Dragons,Labrinth,0,False
Chris Brown,H.E.R.,1,True
Tory Lanez,Trey Songz,1,True
Dalex,Sech,1,True
Barbara Dickson,Lil Durk,0,False
Daya,Sephyx,1,True
Chinx,Kane Brown,0,False
Kosling,Still Young,1,True
Keith Ape,XXXTENTACION,1,True
Kali Uchis,"Tyler, The Creator",1,True
En Vogue,Salt-N-Pepa,1,True
Hogland,KIDDO,1,True
Kimberg,Ovylarock,1,True
Khalid,Marshmello,1,True
Chinx,MeetSims,1,True
Bankroll Fresh,Giveon,0,False
Rosemary Clooney,The Mellomen,2,True
Jacquees,Mako,0,False
August Alsina,Curren$y,1,True
Alessia Labate,John Newman,0,False
MeetSims,Michael Kaneko,0,False
ScHoolboy Q,Trinidad James,2,True
Brytiago,Darell,1,True
B.o.B,Billie Eilish,0,False
Daichi Yamamoto,Trevor Daniel,0,False
Lloyd,XXXTENTACION,0,False
August Alsina,Nelly Furtado,0,False
Last Heroes,Lunis,1,True
Ofenbach,Portugal. The Man,1,True
21 Savage,London On Da Track,1,True
Doja Cat,PnB Rock,0,False
Macklemore,Skylar Grey,1,True
Alessia Labate,MeetSims,0,False
Jhené Aiko,Trey Songz,1,True
Oh Wonder,Rob Thomas,0,False
Drake,Project Pat,1,True
Juice WRLD,benny blanco,1,True
Kan Sano,Speaker Knockerz,0,False
RhymeTube,S. Kiyotaka & Omega Tribe,0,False
Becky G,Confidence Man,0,False
Bassnectar,Giveon,0,False
Green Day,iann dior,0,False
Kanye West,NVRT,0,False
KM,Kevin Flum,0,False
AmanderSings,Marshmello,0,False
Leila Pari,N3WPORT,1,True
Hundred Waters,Skrillex,1,True
Molly Marrs,Will Young,0,False
Bruno Mars,Wiz Khalifa,1,True
Carrie Underwood,Keith Urban,1,True
Gryffin,Steve Aoki,1,True
Florida Georgia Line,KID FRESINO,0,False
Jacquees,Michael Kaneko,0,False
Ansel Elgort,Logic,1,True
Lil Wayne,Wale,1,True
Alec Benjamin,Alessia Cara,1,True
CHAI,The Partysquad,0,False
Fabolous,Lil Wayne,0,False
Cazzu,Sech,1,True
Lasso the Sun,Patrick Key,1,True
Original Love,Ovall,1,True
Alicia Keys,Kiki Dee,0,False
James Ty,Khalid,0,False
Chance the Rapper,Hundred Waters,1,True
Kevu,Wale,0,False
Laniia,VIZE,1,True
Gil Zambrano,Into The Ether,1,True
Arash Shadram,RhymeTube,0,False
DJ Drama,Disclosure,0,False
Billy Idol,Generation X,1,True
Darell,Mambo Kingz,1,True
CHAI,Confidence Man,1,True
Bankroll Fresh,Travis Porter,1,True
SIRUP,Sam Smith,0,False
Lenny Tavárez,Sech,1,True
David Guetta,kiki vivi lily,0,False
T.I.,Young Thug,1,True
Anuel AA,DJ Luian,2,True
Jonas Brothers,PnB Rock,0,False
Drake,PARTYNEXTDOOR,1,True
Disclosure,OG Maco,0,False
kiki vivi lily,サトウユウヤ,1,True
Benjazzy,JJJ,1,True
JNKMN,Jhené Aiko,0,False
Curren$y,Laniia,0,False
Exede,Lenny Tavárez,0,False
HALIENE,Keith Ape,0,False
Annie Lennox,Dave Stewart,1,True
Anderson .Paak,Silk Sonic,2,True
Freddie Mercury,The Mellomen,0,False
Ari Lennox,Dreamville,1,True
Aerosmith,TCM,0,False
Jhené Aiko,Ryan Hurd,0,False
Chance the Rapper,Robin Hannibal,1,True
Jonas Brothers,Marshmello,1,True
Au5,Pulse,0,False
Nate Dogg,Tems,0,False
Maroon 5,Megan Thee Stallion,1,True
Drake,Kyla,1,True
DJ Drama,Tory Lanez,1,True
Jacquees,Lil Gotit,1,True
EMEL,"Tyler, The Creator",0,False
Kid Cudi,Oh Wonder,0,False
Kaidro,Nick Ledesma,0,False
Da Tweekaz,Kanye West,0,False
Anuel AA,Rae Sremmurd,0,False
DJ Khaled,Lil Baby,1,True
ISH-ONE,TEAM2MVCH,1,True
JNKMN,MFS,1,True
Lil Uzi Vert,Quavo,1,True
Molly Marrs,Nick Ledesma,1,True
Green Day,Rebecca Naomi Jones,1,True
Luca,NVRT,1,True
Cardi B,Lizzo,1,True
David Guetta,Neneh Cherry,0,False
Becky G,Daya,0,False
AAAMYYY,Yaffle,1,True
Sia,Summer Walker,0,False
James Ty,King CAAN,1,True
Christina Aguilera,Orono,0,False
Billy Idol,PARTYNEXTDOOR,0,False
Mark With a K,Nate Dogg,0,False
Gucci Mane,Rae Sremmurd,1,True
Halston Dare,Thomas Schwartz,0,False
Alesso,Céline Dion,0,False
Céline Dion,FRONTIER BACKYARD,0,False
Chris Brown,DJ Drama,1,True
PnB Rock,Wiz Khalifa,2,True
Dave Days,Garrett Raff,0,False
Charlie Puth,Travis Porter,0,False
Kali Uchis,笠井 紀美子,0,False
Phil Collins,Shelley FKA DRAM,0,False
Shin Sakiura,Tom Jones,0,False
Craig David,Travis Scott,0,False
Dalex,Lenny Tavárez,1,True
Tems,WizKid,2,True
Mambo Kingz,Nicky Jam,1,True
Phil Collins,Riggi & Piros,0,False
A Boogie Wit da Hoodie,HALIENE,0,False
BEAUZ,Hal David,0,False
Street Money Boochie,Travis Porter,1,True
AmanderSings,DJ SpinKing,0,False
Coldplay,MÖSHI,0,False
Rich Homie Quan,Travis Barker,0,False
Jack Harlow,Prince Royce,0,False
Jason Ross,Jonathan Mendelsohn,1,True
Darren Styles,French Montana,0,False
BoA,Mondo Grosso,1,True
KIDDO,Original Love,0,False
PnB Rock,Young Thug,1,True
Gambitt,OMZ,0,False
Hellblasterz,Luca Testa,1,True
Barbara Dickson,Don Q,0,False
Armand Van Helden,deadmau5,0,False
Garrett Raff,Taichi Mukai,0,False
Hardwell,Sephyx,1,True
Florida Georgia Line,Nelly,1,True
Elton John,Kiki Dee,1,True
BEAUZ,Smokepurpp,0,False
E-40,G-Eazy,1,True
Nick Ledesma,SHIMA,0,False
Gabrielle,Noiseshock,0,False
GhostDragon,Lionel Richie,0,False
London On Da Track,Mambo Kingz,0,False
Daniel Caesar,H.E.R.,1,True
Future,The Weeknd,1,True
Neneh Cherry,Youssou N'Dour,1,True
David Bowie,Queen,2,True
Cory Gunz,John Gallagher Jr.,0,False
Dido,Jessie Reyez,0,False
JNKMN,Jarrod Alonge,0,False
Nurko,Rick Ross,0,False
A Boogie Wit da Hoodie,Macklemore & Ryan Lewis,0,False
Ariana Grande,MGMT,0,False
Hellblasterz,Wiz Khalifa,0,False
6LACK,J. Cole,1,True
Eminem,Lil Wayne,1,True
DeJ Loaf,Jacquees,1,True
Johnny Cash,Luca Testa,0,False
Bankroll Fresh,Street Money Boochie,1,True
Anuel AA,Molly Marrs,0,False
G-Eazy,GhostDragon,0,False
Maroon 5,Rihanna,1,True
Jhené Aiko,Tory Lanez,1,True
Christoph Andersson,G-Eazy,1,True
Lamorn,deadmau5,1,True
Au5,Project Pat,0,False
Annie Lennox,Eurythmics,1,True
Alessia Cara,Khalid,1,True
Chris Brown,DaVido,1,True
Dido,KEIJU,0,False
Dougal,Jacob Wellfair,1,True
Chris Brown,Tory Lanez,1,True
Chris Brown,ZAYN,1,True
Aitor Blond,Sounxstate,1,True
Alesso,Santana,0,False
James Morrison,Skippa Da Flippa,0,False
Big Sean,Ty Dolla $ign,1,True
Patsy Cline,The Jordanaires,2,True
Dave Stewart,Eurythmics,1,True
